Name,Age,Nationality,Overall,Club,Value,Preferred Positions
D. Bates,20,Scotland,59,Rangers,€250K,CB
L. Callahan,23,United States,59,Colorado Rapids,€190K,LM
A. Williams,23,England,59,Newport County,€240K,ST
J. Flatt,22,England,59,Cheltenham Town,€180K,GK
M. Berg Gjerstrøm,20,Norway,59,Strømsgodset IF,€280K,CAM
J. Rønningen,26,Norway,59,Kristiansund BK,€180K,RM
I. Gómez,20,Argentina,59,Estudiantes de La Plata,€270K,CDM
T. Baumgart,19,Germany,59,Chemnitzer FC,€270K,RM
N. Maher,21,England,59,Galway United,€180K,CB
A. Bodart,19,Belgium,59,Standard de Liège,€230K,GK
C. Horgan,22,Republic of Ireland,59,Galway United,€180K,RB
J. Wehrmann,18,Netherlands,59,Feyenoord,€325K,CDM
C. Main,25,England,59,Portsmouth,€200K,ST
J. Giraldo,19,Colombia,59,Águilas Doradas,€300K,CM
J. Shaibu,19,Denmark,59,Brentford,€290K,ST
E. Kronberg,33,United States,59,Montreal Impact,€80K,GK
G. Rogers,35,Republic of Ireland,59,Dundalk,€40K,GK
B. Close,20,England,59,Portsmouth,€350K,CDM
M. Corboz,22,United States,59,MSV Duisburg,€190K,CB
A. Gounet,28,France,59,US Quevilly-Rouen,€130K,GK
R. Lainton,27,England,59,Port Vale,€130K,GK
T. O'Sullivan,22,Wales,59,Colchester United,€250K,CM
M. Maranda,19,Austria,59,FC Admira Wacker Mödling,€300K,CB
E. Adams,21,England,59,Shrewsbury,€250K,CM
M. Talal,19,France,59,Amiens SC Football,€290K,CM
Lara,17,Spain,59,Sevilla Atlético,€270K,LW
C. Månsson,36,Sweden,59,Kristiansund BK,€20K,GK
Y. Kimoto,23,Japan,59,Cerezo Osaka,€190K,CB
Núñez,19,Spain,59,Sevilla Atlético,€260K,RB
G. Caffa,36,Argentina,59,Corporación Club Deportivo Tuluá,€20K,GK
Vera,20,Spain,59,Córdoba CF,€240K,LM
B. Varga,23,Hungary,59,SV Mattersburg,€230K,ST
S. Long,22,Republic of Ireland,59,Lincoln City,€180K,RB
J. Bouet,33,France,59,Amiens SC Football,€80K,GK
O. Filip,19,Austria,59,SK Sturm Graz,€325K,RM
V. Ramis,22,Argentina,59,Godoy Cruz,€210K,RW
J. Jones,21,Scotland,59,Crewe Alexandra,€300K,CM
T. Bola,18,England,59,Arsenal,€250K,CB
K. Stamatopoulos,37,Canada,59,AIK Solna,€10K,GK
A. Araujo,25,Argentina,59,Talleres de Cordoba,€200K,RM
A. Fleming,29,England,59,Morecambe,€150K,LM
J. Bamert,19,Switzerland,59,FC Sion,€300K,LB
O. Mamoun,21,France,59,Angers SCO,€240K,RB
S. Folan,25,Republic of Ireland,59,Galway United,€170K,CB
D. Cornell,26,Wales,59,Northampton Town,€140K,GK
F. Andersson,28,Sweden,59,Malmö FF,€110K,GK
T. Onozawa,19,Japan,59,Cerezo Osaka,€325K,LM
A. Nurudeen,18,Ghana,59,KAS Eupen,€260K,GK
E. Næsbak Brenden,23,Norway,59,Lillestrøm SK,€200K,CAM
M. Christensen,19,Denmark,59,Aalborg BK,€325K,CM
Lee Jeong Bin,22,Korea Republic,59,Incheon United FC,€230K,CAM
E. Brophy,21,Scotland,59,Kilmarnock,€280K,CAM
G. Peers,31,Republic of Ireland,59,St. Patrick's Athletic,€100K,CB
A. Al Najjar,20,Saudi Arabia,59,Al Ittihad,€280K,RW
A. Paroni,27,Italy,59,Virtus Entella,€130K,GK
A. May,19,England,59,Portsmouth,€325K,CAM
R. Sawakami,23,Japan,59,Cerezo Osaka,€220K,ST
J. Macías,17,Mexico,59,Guadalajara,€300K,ST
E. Nesterenko,21,Russia,59,FC Krasnodar,€220K,CB
A. Ibrahimaj,25,Germany,59,SV Sandhausen,€180K,RM
C. Clifford,25,Republic of Ireland,59,Dundalk,€200K,CM
C. McCormack,27,Republic of Ireland,59,Cork City,€180K,CDM
N. Al Mousa,26,Saudi Arabia,59,Al Fateh,€160K,CAM
R. Wolsztyński,22,Poland,59,Górnik Zabrze,€220K,ST
A. Trusty,18,United States,59,Philadelphia Union,€290K,CB
H. Sandvik,27,Norway,59,FK Haugesund,€130K,GK
V. Patrasco,18,Moldova,59,FC Ufa,€290K,LB
M. Bürki,23,Switzerland,59,BSC Young Boys,€200K,LB
J. Brophy,22,England,59,Swindon Town,€200K,LM
C. Arcus,21,Haiti,59,AJ Auxerre,€210K,RB
J. Barrett,19,Republic of Ireland,59,Reading,€325K,CAM
A. Nkosi,24,South Africa,59,Orlando Pirates,€210K,ST
Samu Casado,20,Spain,59,Málaga CF,€190K,GK
A. Larsen,27,Denmark,59,Lyngby BK,€140K,GK
S. Buchta,20,Germany,59,Karlsruher SC,€220K,LM
F. Dmitrovic,21,Serbia,59,SCR Altach,€210K,GK
M. Mellado,24,Argentina,59,Chacarita Juniors,€180K,CDM
M. Rasmussen,19,Norway,59,FC Nordsjælland,€240K,CM
T. Roex,19,Netherlands,59,Roda JC Kerkrade,€200K,GK
J. Álvarez,19,Argentina,59,Chacarita Juniors,€325K,LW
Miguel Magalhães,18,Portugal,59,Vitória Guimarães,€240K,RB
M. Netolitzky,23,Germany,59,Hallescher FC,€150K,GK
D. Franke,18,Germany,59,VfL Wolfsburg,€290K,LB
R. Gilmartin,30,Republic of Ireland,59,Colchester United,€100K,GK
E. Dahlin,28,Sweden,59,IFK Göteborg,€130K,GK
S. Bjørkkjær,20,Norway,59,FK Haugesund,€180K,LB
V. Mouangue,19,France,59,En Avant de Guingamp,€210K,LB
S. Humphrys,19,England,59,Fulham,€270K,ST
J. Schryvers,20,Belgium,59,Waasland-Beveren,€220K,RB
A. Fuchs,20,Germany,59,1. FC Nürnberg,€280K,CM
B. Lekström,36,Sweden,59,Hammarby IF,€20K,GK
L. Dreher,18,England,59,Crystal Palace,€325K,CM
L. Bossin,21,Republic of Ireland,59,Nottingham Forest,€220K,GK
N. Arena,18,Argentina,59,Vélez Sarsfield,€220K,CB
L. Radliński,34,Poland,59,Sandecja Nowy Sącz,€60K,GK
M. Rodríguez,24,Argentina,59,Chacarita Juniors,€210K,RW
J. Mountney,24,Republic of Ireland,59,Dundalk,€210K,RM
K. Montaño,22,Mexico,59,Cruz Azul,€230K,CM
A. Vlachomitros,19,Greece,59,AEK Athens,€220K,ST
I. Oda,18,Japan,59,Kashima Antlers,€290K,CB
M. Pessina,20,Italy,59,La Spezia,€350K,CM
E. Parish,27,England,59,Dundee FC,€130K,GK
A. Al Turki,23,Saudi Arabia,59,Al Taawoun,€210K,LM
A. Lamonge,21,France,59,FC Lorient,€210K,GK
O. Bala,19,Turkey,59,İstanbul Başakşehir FK,€325K,CAM
R. Benschop,18,Netherlands,59,PEC Zwolle,€250K,LM
A. Marfaing,21,France,58,Le Havre AC,€180K,GK
R. Corlu,19,Denmark,58,Roma,€210K,CM
L. Morales,26,Argentina,58,Club Atlético Patronato,€130K,RB
B. Whitfield,21,England,58,Port Vale,€230K,RW
G. Mutombo,21,France,58,US Orléans Loiret Football,€160K,CB
S. Al Shammari,27,Saudi Arabia,58,Ohod Club,€100K,LB
S. Brennan,31,Republic of Ireland,58,Drogheda United,€110K,LW
K. Callan-McFadden,22,Republic of Ireland,58,Sligo Rovers,€170K,CB
D. Morrissey,23,Republic of Ireland,58,Finn Harps,€200K,LW
C. Donovan,21,United States,58,Orlando City Soccer Club,€220K,CB
E. Keles,23,Austria,58,SK Rapid Wien,€230K,RM
S. Long,22,England,58,Oxford United,€150K,CB
J. Simonsen,21,Denmark,58,SønderjyskE,€230K,ST
C. Mbulu,20,England,58,Millwall,€190K,CB
T. Sainte-Luce,18,France,58,Nîmes Olympique,€180K,LB
R. Griffiths,21,England,58,Motherwell,€170K,GK
G. Bokwé,27,Cameroon,58,,€0,GK
S. Tetteh,20,Ghana,58,FC Red Bull Salzburg,€230K,LW
David Batanero,28,Spain,58,GIF Sundsvall,€130K,CM
L. Nolan,22,Northern Ireland,58,Accrington Stanley,€140K,CM
T. Akmurzin,19,Russia,58,Rubin Kazan,€230K,GK
J. Stage,20,Denmark,58,Aarhus GF,€230K,LB
R. Hack,18,Germany,58,TSG 1899 Hoffenheim,€260K,ST
Javi Vázquez,16,Spain,58,Sevilla Atlético,€170K,CB
N. Senzemba,21,France,58,FC Sochaux-Montbéliard,€200K,LB
H. Oka,29,Japan,58,Ventforet Kofu,€100K,GK
A. O'Hanlon,20,Republic of Ireland,58,St. Patrick's Athletic,€280K,CAM
Kim Sung Ju,18,Korea Republic,58,Jeonnam Dragons,€230K,ST
L. Saxton,27,England,58,GIF Sundsvall,€100K,GK
Toni Gomes,18,Portugal,58,Forest Green,€260K,ST
J. Gray,21,England,58,Yeovil Town,€220K,RM
G. Diangana,19,England,58,West Ham United,€200K,LM
M. da Fonte,26,United States,58,Colorado Rapids,€130K,RB
F. Adorni,17,Italy,58,Parma,€200K,GK
G. Legg,21,England,58,Reading,€160K,GK
M. Foulds,19,England,58,Everton,€250K,LB
K. Nagato,22,Japan,58,Vegalta Sendai,€190K,LM
R. Bartczak,21,Poland,58,Legia Warszawa,€210K,RB
L. Godoy,22,Argentina,58,Arsenal de Sarandí,€200K,RM
C. Manicone,19,Italy,58,FC Lugano,€280K,ST
Y. Fujita,34,Japan,58,Júbilo Iwata,€40K,CB
N. Ortiz,22,Argentina,58,Gimnasia y Esgrima La Plata,€150K,CB
F. Mveng,25,Switzerland,58,FC Sion,€170K,CDM
M. Barnes,20,England,58,Southampton,€250K,ST
A. Khongjee,29,India,58,,€0,RM
K. Majić,19,Croatia,58,Fortuna Düsseldorf,€280K,ST
L. Bünning,19,Germany,58,Werder Bremen II,€250K,RB
K. Bigler,24,Switzerland,58,FC Thun,€150K,LM
Lee Joong Seo,22,Korea Republic,58,GwangJu FC,€200K,ST
C. Thompson,23,England,58,Notts County,€180K,RM
A. George,25,India,58,,€0,CF
G. Gudmundsson,18,Sweden,58,Halmstads BK,€210K,RM
V. Noring,26,Sweden,58,Heart of Midlothian,€110K,GK
D. Nizic,22,Australia,58,Morecambe,€160K,GK
R. Simpson,32,England,58,Exeter City,€100K,ST
Kim Gyeong Jae,23,Korea Republic,58,Jeonnam Dragons,€160K,RM
F. Al Habib,19,Saudi Arabia,58,Al Shabab,€140K,GK
Carlos Gracia,24,Spain,58,GIF Sundsvall,€150K,CB
W. Frantzen,24,Norway,58,Tromsø IL,€150K,CAM
J. Okkels,17,Denmark,58,Silkeborg IF,€280K,LM
A. Llovet,19,France,58,Montpellier Hérault SC,€280K,ST
E. Granat,21,Sweden,58,GIF Sundsvall,€180K,CM
S. Kalajdzic,19,Austria,58,FC Admira Wacker Mödling,€270K,CM
P. Sweeney,22,Republic of Ireland,58,Exeter City,€170K,CB
J. Osabutey,18,Ghana,58,Werder Bremen II,€260K,ST
L. Álvarez,23,Argentina,58,Chacarita Juniors,€140K,GK
M. Stryjek,20,Poland,58,Accrington Stanley,€160K,GK
Lee Jae Hyeong,19,Korea Republic,58,Jeonbuk Hyundai Motors,€170K,GK
M. Nardi,30,Italy,58,Parma,€80K,GK
S. Bennett,26,England,58,Newport County,€130K,CM
K. Matsui,31,Japan,58,Omiya Ardija,€80K,GK
D. Frieser,23,Austria,58,Wolfsberger AC,€170K,CAM
P. Silfwer,25,Sweden,58,Halmstads BK,€160K,CM
J. Tilley,19,England,58,Brighton & Hove Albion,€270K,LM
N. Czornomaz,21,Argentina,58,Defensa y Justicia,€170K,LM
J. Hendry,22,Scotland,58,Dundee FC,€220K,CB
S. Mauritz-Hansen,22,Norway,58,Stabæk Fotball,€180K,ST
J. Albrecht,18,Germany,58,SV Wehen Wiesbaden,€210K,GK
D. Cruz,22,Mexico,58,Club Atlas,€160K,RB
J. Mangert,17,Netherlands,58,Excelsior,€230K,CB
Gabi,19,Spain,58,SD Huesca,€220K,CAM
A. Absalem,20,Netherlands,58,FC Groningen,€170K,LB
J. Cortizo,21,Mexico,58,Querétaro,€190K,LM
E. Massouema,20,France,58,Dijon FCO,€230K,CM
G. Davies,20,Sierra Leone,58,SKN St. Pölten,€230K,LM
N. Basin,18,France,58,FC Metz,€230K,LM
D. Watabe,28,Japan,58,Omiya Ardija,€100K,RB
L. Barros,24,Colombia,58,Atlético Bucaramanga,€140K,CB
B. Osayi-Samuel,19,Nigeria,58,Queens Park Rangers,€240K,RM
B. Haunstrup,20,England,58,Portsmouth,€190K,LB
R. Okui,27,Japan,58,Omiya Ardija,€100K,RB
R. de la Rosa,17,Mexico,58,Pachuca,€250K,ST
Y. Kurihara,33,Japan,58,Yokohama F. Marinos,€50K,CB
G. Poluzzi,29,Italy,58,Ferrara (SPAL),€100K,GK
M. Tissera,20,Argentina,58,Newell's Old Boys,€190K,ST
Z. Herivaux,21,Haiti,58,New England Revolution,€220K,CM
K. Luibrand,23,Germany,58,Karlsruher SC,€180K,RW
J. Andersson,22,Sweden,58,IK Sirius,€170K,RM
H. Weigelt,19,Germany,58,DSC Arminia Bielefeld,€250K,CB
P. Salata,19,Germany,58,1. FC Kaiserslautern,€190K,CB
J. Fryer,21,England,58,Stevenage,€180K,GK
O. Al Sunain,22,Saudi Arabia,58,Ettifaq FC,€180K,RB
L. Lynch,25,Republic of Ireland,58,Limerick FC,€170K,CM
N. Mileusnic,23,Australia,58,Adelaide United,€170K,LW
R. Minor,29,Denmark,58,Hobro IK,€100K,CB
E. Dsane,20,England,58,Finn Harps,€210K,LM
V. Onovo,21,Nigeria,58,HJK Helsinki,€200K,CM
L. Italiano,26,Australia,58,Wellington Phoenix,€120K,GK
J. Molumby,17,Republic of Ireland,58,Brighton & Hove Albion,€250K,CM
R. Ariza,19,Colombia,58,Alianza Petrolera,€190K,LM
T. Cordner,18,England,58,Bournemouth,€160K,CB
J. Hodek,19,Germany,58,FSV Zwickau,€210K,CM
Park Yo Han,22,Korea Republic,58,Gangwon FC,€170K,CB
G. Beghin,20,France,58,RC Lens,€190K,CM
T. van de Berg,19,Netherlands,58,Heracles Almelo,€200K,RB
R. Perez,22,Mexico,58,Colorado Rapids,€200K,CM
S. Sasaki,27,Japan,58,Sanfrecce Hiroshima,€110K,LB
L. Croll,22,England,58,Exeter City,€170K,CB
A. Bakayoko,19,France,58,FC Sochaux-Montbéliard,€270K,RW
O. Bertel,20,Colombia,58,CD Los Millionarios Bogota,€160K,LB
T. Guidara,21,Argentina,58,Belgrano de Córdoba,€180K,RB
L. Montipó,21,Italy,58,Novara,€160K,GK
O. Escalante,26,Colombia,58,Tigres FC,€130K,CDM
M. Kitching,21,England,58,Rochdale,€170K,CM
L. Ndukwu,18,England,58,Leicester City,€260K,RM
E. Montaño,27,Colombia,58,Tigres FC,€120K,LB
L. Grill,18,Germany,58,1. FC Kaiserslautern,€210K,GK
O. Hawsawi,24,Saudi Arabia,58,Ohod Club,€130K,CB
G. Jobava,21,Georgia,58,AJ Auxerre,€190K,RW
M. Firenze,24,Italy,58,Vercelli,€170K,CM
G. Middleton,17,Scotland,58,Norwich City,€280K,LM
J. Triest,20,Belgium,58,Sporting Lokeren,€210K,CB
F. Ibargüen,23,Colombia,58,Águilas Doradas,€160K,CB
H. Asmelash,18,Netherlands,58,ADO Den Haag,€230K,RB
M. Beneddine,21,France,58,AS Monaco,€200K,RB
T. Svendsen,17,Norway,58,Molde FK,€250K,LM
M. Payero,18,Argentina,58,Banfield,€260K,CM
F. Bonansea,19,Argentina,58,Belgrano de Córdoba,€190K,GK
J. Al Shammari,25,Saudi Arabia,58,Al Batin,€140K,CM
G. Weissbeck,20,France,58,RC Strasbourg,€230K,CAM
T. Castella,24,Switzerland,58,FC Lausanne-Sports,€130K,GK
G. Cros,22,France,58,FC Carl Zeiss Jena,€160K,LB
F. Rossi,26,Italy,58,Atalanta,€120K,GK
J. Gies,22,Germany,58,SV Meppen,€130K,GK
P. Płacheta,19,Poland,58,SG Sonnenhof Großaspach,€270K,RW
N. Townsend,22,England,58,Barnsley,€150K,GK
J. McGrath,20,Republic of Ireland,58,Dundalk,€280K,CM
A. Kecskés,21,Hungary,58,Termalica Bruk-Bet Nieciecza,€160K,CB
D. Webster,27,Republic of Ireland,58,Shamrock Rovers,€120K,CB
R. Martinsen,21,Norway,58,Viking FK,€150K,CB
J. McDonnell,23,England,58,AFC Wimbledon,€150K,GK
T. Duman,19,Germany,58,Fortuna Düsseldorf,€240K,CAM
S. Antonijevic,28,United States,58,Lillestrøm SK,€100K,CB
D. Lovren,18,Croatia,58,Fortuna Düsseldorf,€260K,LM
R. Williams,32,England,58,Cork City,€70K,LB
L. Rodríguez,22,Colombia,58,Envigado FC,€150K,CB
M. Kremer,27,Germany,58,SV Meppen,€140K,ST
E. Louro,21,United States,58,New York Red Bulls,€130K,GK
S. Alexandersson,24,Sweden,58,AFC Eskilstuna,€170K,ST
C. Howe,23,England,58,Lincoln City,€140K,CB
C. McAleer,23,Northern Ireland,58,Finn Harps,€170K,RW
P. Posipal,29,Germany,58,SV Meppen,€100K,CB
K. Goba,29,France,58,La Berrichonne de Châteauroux,€130K,ST
Y. Al Sawasan,27,Saudi Arabia,58,Al Batin,€100K,LM
J. Al Dhafeeri,24,Saudi Arabia,58,Al Batin,€140K,CDM
C. Kouamé,19,Ivory Coast,58,Cittadella,€280K,ST
Gabriel Rodrigues,21,Brazil,58,Ventforet Kofu,€180K,ST
J. Roberts,21,England,58,Oxford United,€280K,ST
J. Lunney,19,Republic of Ireland,58,St. Patrick's Athletic,€270K,LM
R. Miller,28,England,58,Peterborough United,€130K,LM
J. Maddox,18,England,58,Chelsea,€260K,CAM
A. Caci,20,France,58,RC Strasbourg,€220K,CDM
B. Kavlak,20,Turkey,58,Evkur Yeni Malatyaspor,€190K,ST
C. O'Connor,20,Republic of Ireland,58,Bohemian FC,€210K,ST
D. Reiter,19,Austria,58,LASK Linz,€280K,ST
P. Brough,21,England,58,Morecambe,€140K,LM
A. Fernandes,28,India,58,,€0,CB
Gorka Giralt,21,Spain,58,Real Oviedo,€160K,GK
J. Smith,30,England,58,Stevenage,€120K,RB
D. Engström,26,Sweden,58,BK Häcken,€130K,CB
M. Drga,22,Austria,58,SV Mattersburg,€190K,RM
R. Blair,21,Scotland,58,Swansea City,€220K,CM
I. Sangaré,23,Ivory Coast,58,AJ Auxerre,€180K,ST
M. Safonov,18,Russia,58,FC Krasnodar,€210K,GK
C. Velásquez,31,Argentina,58,Jaguares Fútbol Club,€110K,ST
M. Peano,18,Argentina,58,Unión de Santa Fe,€210K,GK
D. Pietrzkiewicz,29,Poland,58,Sandecja Nowy Sącz,€100K,GK
J. Debayo,20,Nigeria,58,Leicester City,€160K,LB
Y. Andzouana,20,DR Congo,58,Girona CF,€230K,LM
H. Bandé,18,Burkina Faso,58,KV Mechelen,€260K,ST
H. Narzary,23,India,58,,€0,RM
T. Pasher,23,Canada,58,Sporting Kansas City,€170K,LB
G. Jozinović,26,Croatia,58,FC Lugano,€120K,LB
M. Schlegel,20,Germany,58,FC Carl Zeiss Jena,€210K,LB
S. Longstaff,19,England,58,Blackpool,€270K,CAM
J. Pupe,20,Belgium,58,KV Kortrijk,€170K,CB
C. Crespo,19,Mexico,58,Club Tijuana,€200K,CAM
B. Koglin,20,Germany,58,FC St. Pauli,€220K,LB
S. Tomisawa,34,Japan,58,Albirex Niigata,€40K,CB
Asier,19,Spain,58,CD Lugo,€170K,RB
T. Scheffel,22,Germany,58,Chemnitzer FC,€140K,RB
A. Brorsson,18,Sweden,58,Örebro SK,€180K,CB
A. Chapman,27,England,58,Accrington Stanley,€100K,GK
A. Piller,23,Germany,58,SpVgg Unterhaching,€170K,LM
A. Penny,20,Wales,58,Peterborough United,€200K,RB
A. Marchesano,26,Switzerland,58,FC Zürich,€160K,CM
D. Arzani,18,Australia,58,Melbourne City,€260K,CM
L. Schubert,28,Austria,58,Derry City,€130K,RW
M. Šarkić,19,Montenegro,58,Wigan Athletic,€230K,GK
R. Delaney,20,Republic of Ireland,58,Cork City,€190K,LB
L. Woolfenden,18,England,58,Ipswich Town,€180K,RB
P. Sussek,17,Germany,58,FC Ingolstadt 04,€250K,RM
M. Medina,20,Colombia,58,Patriotas Boyacá FC,€150K,CM
T. Stewart,30,Northern Ireland,58,Dundalk,€120K,LW
D. Telford,20,England,58,Bristol Rovers,€230K,ST
V. Lux,28,Kyrgyzstan,58,SpVgg Unterhaching,€130K,RM
S. Aliev,18,Russia,58,FC Anzhi Makhachkala,€260K,CAM
D. Clarke,24,Republic of Ireland,58,Limerick FC,€170K,RB
A. Sharipov,24,Russia,58,Rubin Kazan,€170K,CAM
F. Forni,18,Italy,58,Cremonese,€240K,CB
A. Hughes,25,Wales,58,Peterborough United,€140K,CB
L. Kjemhus,23,Norway,58,Sogndal,€190K,LM
F. Mac Allister,21,Argentina,58,Argentinos Juniors,€200K,CM
N. Giménez,20,Argentina,58,Rosario Central,€220K,CB
J. Angulo,19,Mexico,58,Santos Laguna,€160K,CB
C. Kerr,21,Scotland,58,Dundee FC,€190K,RWB
D. Agazzi,24,Italy,58,Foggia,€170K,CM
T. Wiesner,20,Germany,58,Fortuna Düsseldorf,€230K,GK
T. Schützenauer,20,Austria,58,SK Sturm Graz,€140K,GK
K. Ogawa,19,Japan,58,Júbilo Iwata,€280K,ST
Raul Asencio,19,Spain,58,Avellino,€240K,ST
S. Khadda,25,France,58,La Berrichonne de Châteauroux,€160K,CAM
T. Shimakawa,27,Japan,58,Ventforet Kofu,€120K,CDM
A. Barry,24,Republic of Ireland,58,Derry City,€140K,CB
A. Al Megbas,21,Saudi Arabia,58,Al Shabab,€210K,ST
M. Ruiz Díaz,20,Argentina,58,Estudiantes de La Plata,€190K,RB
B. Irie-Bi,24,Ivory Coast,58,US Quevilly-Rouen,€140K,CM
M. Mølvadgaard,17,Denmark,58,Randers FC,€250K,ST
J. Torres,20,Argentina,58,Newell's Old Boys,€220K,CAM
F. Herzenbruch,24,Germany,58,SC Paderborn 07,€140K,CB
A. Torres,21,Mexico,58,Guadalajara,€170K,GK
L. Daschner,18,Germany,58,MSV Duisburg,€260K,RM
J. Hou Sæter,19,Norway,58,Stabæk Fotball,€270K,CM
M. Zeroual,18,Belgium,58,KV Mechelen,€260K,CAM
M. Baku,19,Germany,58,SG Sonnenhof Großaspach,€270K,LW
M. Dimun,20,Slovakia,58,Cracovia,€250K,CDM
J. Villarreal,22,United States,58,LA Galaxy,€180K,CDM
J. Valoyes,30,Colombia,58,Corporación Club Deportivo Tuluá,€90K,CB
A. Wheeler-Omiunu,22,United States,58,Atlanta United FC,€190K,RB
A. Knezovic,24,Croatia,58,Kristiansund BK,€130K,GK
S. Wimmer,23,Austria,58,SC Paderborn 07,€160K,CDM
S. Bonecki,22,Poland,58,Zagłębie Lubin,€150K,CDM
I. Alsultanov,18,Russia,58,Terek Grozny,€240K,CB
N. Lüchinger,22,Switzerland,58,FC St. Gallen,€190K,RM
Y. Mabella,21,France,58,La Berrichonne de Châteauroux,€210K,ST
C. Riascos,23,Colombia,58,Alianza Petrolera,€150K,LB
N. Souren,17,Netherlands,58,Roda JC Kerkrade,€230K,CDM
V. Nelsson,18,Denmark,58,FC Nordsjælland,€200K,CM
I. Lurati,19,Switzerland,58,FC Sion,€200K,CB
M. Meli,17,Italy,58,Fiorentina,€280K,RW
A. Danek,22,Poland,58,Sandecja Nowy Sącz,€180K,RB
E. Gründemann,18,Germany,58,Hansa Rostock,€210K,GK
L. Fernández,24,Mexico,58,Tigres U.A.N.L.,€140K,GK
J. Bonham,23,Republic of Ireland,58,Carlisle United,€140K,GK
G. Glendon,22,Wales,58,Fleetwood Town,€210K,CDM
J. de Alba,22,Mexico,58,Querétaro,€160K,CB
R. Greenidge,20,England,58,Sogndal,€190K,CB
K. Kadyrov,23,Russia,58,Terek Grozny,€190K,RM
T. Müller,19,Germany,58,Hallescher FC,€170K,GK
W. Bianda,17,France,58,RC Lens,€230K,CB
B. Spencer,22,United States,58,Toronto FC,€180K,ST
K. Le Roy,19,France,58,En Avant de Guingamp,€150K,GK
J. Barnum-Bobb,21,England,58,Newport County,€150K,RWB
A. Hazazi,23,Saudi Arabia,58,Ettifaq FC,€170K,CAM
R. Laryea,22,Canada,58,Orlando City Soccer Club,€170K,CAM
J. Rodon,19,Wales,58,Swansea City,€250K,CB
T. Yanagi,19,Japan,58,F.C. Tokyo,€240K,CB
G. Sarris,27,Greece,58,Hamilton Academical FC,€120K,CB
P. McLain,28,United States,58,Minnesota Thunder,€90K,GK
R. Kitto,22,Australia,58,Adelaide United,€190K,CAM
P. Hercher,21,Germany,58,1. FC Nürnberg,€210K,RM
A. Mondal,27,India,58,,€0,CB
H. Emiroğlu,20,Turkey,58,Alanyaspor,€250K,CB
F. Hall,32,Bermuda,58,Limerick FC,€70K,GK
T. Dallison,21,England,58,Accrington Stanley,€180K,CB
K. Kuchaev,19,Russia,58,CSKA Moscow,€220K,CDM
T. Hiraoka,21,Japan,58,F.C. Tokyo,€200K,LW
C. Riegler,25,Austria,58,SKN St. Pölten,€120K,GK
S. Ambri,19,France,58,Valenciennes FC,€210K,LM
J. Romero,16,Argentina,58,Atlético Tucumán,€280K,ST
D. Garufo,30,Italy,58,Parma,€90K,RM
C. Lewis,20,New Zealand,58,,€0,LW
S. Jones,25,Wales,58,Grimsby Town,€160K,RW
M. Holzmann,26,Austria,58,FC Admira Wacker Mödling,€140K,LB
H. Algeed,19,Saudi Arabia,58,Al Shabab,€240K,LM
Dani Hernández,21,Spain,58,AD Alcorcón,€160K,GK
M. Roffo,17,Argentina,58,Boca Juniors,€230K,GK
O. Palmer,25,England,58,Lincoln City,€160K,ST
O. Holness,23,Jamaica,58,Real Salt Lake,€200K,CM
L. Zanimacchia,18,Italy,58,Genoa,€260K,RW
F. Malagueño,18,Argentina,58,Talleres de Cordoba,€230K,RB
M. Spielmann,21,Switzerland,58,FC Thun,€220K,RM
Vinicius,21,Brazil,58,Corporación Club Deportivo Tuluá,€180K,LB
A. Power,29,Republic of Ireland,58,Kilmarnock,€120K,CDM
R. Callachan,23,Scotland,58,Heart of Midlothian,€170K,RM
A. Denisov,28,Russia,58,Arsenal Tula,€100K,CB
V. Myhra,20,Norway,58,Odds BK,€170K,GK
C. Rabitsch,21,Austria,58,Wolfsberger AC,€190K,CDM
L. Desmond,22,Republic of Ireland,58,St. Patrick's Athletic,€180K,CDM
A. Bassi,19,France,58,AS Nancy Lorraine,€270K,CAM
M. Carabajal,20,Argentina,58,Arsenal de Sarandí,€170K,CB
G. Banguera,21,Colombia,58,Atlético Huila,€160K,GK
M. Sevimler,18,Turkey,58,Alanyaspor,€260K,ST
A. Bifulco,20,Italy,58,Vercelli,€220K,CM
S. Camara,24,France,58,Le Havre AC,€150K,LB
G. Karlen,22,Switzerland,58,FC Sion,€200K,RW
A. Mozo,20,Mexico,58,U.N.A.M.,€250K,RB
João Victor,23,Brazil,58,LASK Linz,€180K,LM
I. Leschuk,21,Russia,58,Dinamo Moscow,€150K,GK
Y. Schmid,22,Switzerland,58,FC Luzern,€180K,CB
L. Kelly,21,Scotland,58,Rangers,€180K,GK
I. Touré,19,Germany,58,Werder Bremen II,€270K,CM
M. Schwabl,26,Germany,58,Fleetwood Town,€150K,CB
B. van Wijnen,19,Netherlands,58,PEC Zwolle,€270K,CM
L. Grimshaw,22,England,58,Motherwell,€210K,CM
S. Posch,20,Austria,58,TSG 1899 Hoffenheim,€250K,CB
M. Yilmaz,18,Germany,58,RB Leipzig,€210K,RB
D. Jarvis,25,Northern Ireland,58,Derry City,€140K,CB
S. Mandash,22,Saudi Arabia,58,Al Faisaly,€200K,LM
D. Mihailovic,18,United States,58,Chicago Fire Soccer Club,€260K,CM
I. Güven,23,Turkey,58,Atiker Konyaspor,€170K,CM
M. Zacho,20,Denmark,58,Aarhus GF,€200K,RM
